context,question,answers
Answer in Hindi and English.,भारत के शीर्ष 10 हरित राज्यों में उत्तराखंड का कौन सा स्थान है? || What is Uttarakhand's rank among the Top 10 Greenest States in India?,"Hindi: भारत के शीर्ष 10 हरित राज्यों में उत्तराखंड का 6वां स्थान है।
English: Uttarakhand ranks 6th among the Top 10 Greenest States in India."
Answer in Hindi and English.,उत्तराखंड का इतिहास किस काल से जुड़ा हुआ है? || From which period does the history of Uttarakhand date back?,"Hindi: उत्तराखंड का इतिहास प्रागैतिहासिक काल से जुड़ा हुआ है।
English: The history of Uttarakhand dates back to prehistoric times."
Answer in Hindi and English.,वैदिक काल में उत्तराखंड किन राज्यों का हिस्सा था? || Which kingdoms was Uttarakhand part of during the Vedic age?,"Hindi: वैदिक काल में उत्तराखंड कुरु और पांचाल राज्यों का हिस्सा था।
English: During the Vedic age, Uttarakhand was part of the Kuru and Panchal kingdoms."
Answer in Hindi and English.,किस राजवंश के उदय का प्रमाण उत्तराखंड में मिलता है? || Which dynasty's rise is evidenced in Uttarakhand?,"Hindi: उत्तराखंड में कुणिंद वंश के उदय का प्रमाण मिलता है।
English: The rise of the Kuninda dynasty is evidenced in Uttarakhand."
Answer in Hindi and English.,उत्तराखंड में बौद्ध धर्म के प्रभाव का क्या प्रमाण मिलता है? || What evidence shows the influence of Buddhism in Uttarakhand?,"Hindi: उत्तराखंड में अशोक के शिलालेख बौद्ध धर्म के प्रभाव को दर्शाते हैं।
English: Ashokan edicts in Uttarakhand show the influence of Buddhism."
Answer in Hindi and English.,उत्तराखंड की अर्थव्यवस्था किन क्षेत्रों पर आधारित है? || On which sectors is Uttarakhand's economy based?,"Hindi: उत्तराखंड की अर्थव्यवस्था मुख्य रूप से कृषि और जलविद्युत पर आधारित है, लेकिन अब सेवा क्षेत्र इसमें प्रमुख भूमिका निभाता है।
English: Uttarakhand's economy is primarily based on agriculture and hydropower, but now the service sector plays a major role."
Answer in Hindi and English.,उत्तराखंड की जीएसडीपी (सकल राज्य घरेलू उत्पाद) कितनी है? || What is the GSDP (Gross State Domestic Product) of Uttarakhand?,"Hindi: उत्तराखंड की जीएसडीपी ₹3.78 लाख करोड़ (45 बिलियन अमेरिकी डॉलर) है।
English: The GSDP of Uttarakhand is ₹3.78 lakh crore (US$45 billion)."
Answer in Hindi and English.,उत्तराखंड लोकसभा में कितनी सीटें रखता है? || How many seats does Uttarakhand have in the Lok Sabha?,"Hindi: उत्तराखंड लोकसभा में 5 सीटें रखता है।
English: Uttarakhand has 5 seats in the Lok Sabha."
Answer in Hindi and English.,राज्य सभा में उत्तराखंड के कितने प्रतिनिधि हैं? || How many representatives does Uttarakhand have in the Rajya Sabha?,"Hindi: राज्य सभा में उत्तराखंड के 3 प्रतिनिधि हैं।
English: Uttarakhand has 3 representatives in the Rajya Sabha."
Answer in Hindi and English.,उत्तराखंड नाम की व्युत्पत्ति क्या है? || What is the etymology of the name 'Uttarakhand'?,"Hindi: उत्तराखंड नाम संस्कृत के दो शब्दों 'उत्तर' (उत्तरी) और 'खण्ड' (भाग) से मिलकर बना है, जिसका अर्थ है 'उत्तरी भाग'।
English: The name 'Uttarakhand' is derived from the Sanskrit words 'uttara' (north) and 'khaṇḍa' (section/part), meaning 'Northern Part'."
Answer in Hindi and English.,उत्तराखंड नाम का संस्कृत में क्या अर्थ है? || What does 'Uttarakhand' mean in Sanskrit?,"Hindi: संस्कृत में 'उत्तराखंड' का अर्थ है 'उत्तरी भाग' या 'उत्तर का क्षेत्र'।
English: In Sanskrit, 'Uttarakhand' means 'Northern Part' or 'Northern Region'."
Answer in Hindi and English.,प्राचीन हिंदू ग्रंथों में उत्तराखंड को किस नाम से जाना जाता था? || By what name was Uttarakhand known in ancient Hindu scriptures?,"Hindi: प्राचीन हिंदू ग्रंथों में उत्तराखंड को 'केदारखंड' (वर्तमान गढ़वाल) और 'मानसखंड' (वर्तमान कुमाऊं) के संयुक्त क्षेत्र के रूप में जाना जाता था।
English: In ancient Hindu scriptures, Uttarakhand was known as the combined region of 'Kedarkhand' (present-day Garhwal) and 'Manaskhand' (present-day Kumaon)."
Answer in Hindi and English.,केदारखंड और मानसखंड वर्तमान में किस क्षेत्र को कहा जाता है? || Which present-day regions correspond to 'Kedarkhand' and 'Manaskhand'?,"Hindi: केदारखंड वर्तमान गढ़वाल क्षेत्र को और मानसखंड वर्तमान कुमाऊं क्षेत्र को कहा जाता है।
English: Kedarkhand corresponds to present-day Garhwal region and Manaskhand corresponds to present-day Kumaon region."
Answer in Hindi and English.,पौराणिक साहित्य में उत्तराखंड को किस रूप में वर्णित किया गया है? || How is Uttarakhand described in Puranic literature?,"Hindi: पौराणिक साहित्य में उत्तराखंड को भारतीय हिमालय के मध्य भाग के लिए प्रयुक्त किया जाता था।
English: In Puranic literature, Uttarakhand was the term used for the central stretch of the Indian Himalayas."
Answer in Hindi and English.,उत्तराखंड नाम के दोनों शब्दों का क्या अर्थ है? || What is the meaning of both words in 'Uttarakhand'?,"Hindi: 'उत्तर' का अर्थ है 'उत्तरी' और 'खंड' का अर्थ है 'भाग' या 'क्षेत्र'।
English: 'Uttara' means 'north' and 'khaṇḍa' means 'section' or 'part'."
Answer in Hindi and English.,उत्तराखंड के दो प्रमुख ऐतिहासिक क्षेत्र कौन-से हैं? || What are the two major historical regions of Uttarakhand?,"Hindi: उत्तराखंड के दो प्रमुख ऐतिहासिक क्षेत्र केदारखंड (गढ़वाल) और मानसखंड (कुमाऊं) हैं।
English: The two major historical regions of Uttarakhand are Kedarkhand (Garhwal) and Manaskhand (Kumaon)."
Answer in Hindi and English.,क्या उत्तराखंड का नाम प्राचीन काल से प्रचलित है? || Has the name 'Uttarakhand' been in use since ancient times?,"Hindi: हाँ, उत्तराखंड नाम प्राचीन काल से प्रचलित है और यह पौराणिक साहित्य में भी मिलता है।
English: Yes, the name 'Uttarakhand' has been in use since ancient times and is also found in Puranic literature."
Answer in Hindi and English.,उत्तराखंड नाम किस भाषा के शब्दों से लिया गया है? || From which language is the name 'Uttarakhand' derived?,"Hindi: उत्तराखंड नाम संस्कृत भाषा के शब्दों 'उत्तर' और 'खंड' से लिया गया है।
English: The name 'Uttarakhand' is derived from the Sanskrit words 'uttara' and 'khaṇḍa'."
Answer in Hindi and English.,क्या उत्तराखंड को कभी कोई अन्य नाम से भी जाना जाता था? || Was Uttarakhand ever known by any other name?,"Hindi: हाँ, उत्तराखंड को प्राचीन काल में 'केदारखंड' और 'मानसखंड' के नाम से भी जाना जाता था, जो क्रमशः वर्तमान गढ़वाल और कुमाऊं क्षेत्र को दर्शाते हैं।
English: Yes, in ancient times, Uttarakhand was also known as 'Kedarkhand' and 'Manaskhand', referring to present-day Garhwal and Kumaon regions respectively."
Answer in Hindi and English.,पुरातात्त्विक प्रमाणों से उत्तराखंड में मानव अस्तित्व कब से पाया गया है? || Since when does archaeological evidence show human existence in Uttarakhand?,"Hindi: पुरातात्त्विक प्रमाण बताते हैं कि उत्तराखंड में मानव का अस्तित्व प्रागैतिहासिक काल से रहा है।
English: Archaeological evidence supports the existence of humans in Uttarakhand since prehistoric times."
Answer in Hindi and English.,उत्तराखंड में पाषाण युग के अवशेष कहाँ पाए गए हैं? || Where have Stone Age remains been found in Uttarakhand?,"Hindi: पाषाण युग के अवशेष मुख्य रूप से कुमाऊँ और गढ़वाल के क्षेत्रों में पाए गए हैं, विशेष रूप से अल्मोड़ा के लाखूउडियार गुफाओं में।
English: Stone Age remains have been found mainly in Kumaon and Garhwal regions, especially at the Lakhudiyar caves in Almora."
Answer in Hindi and English.,वैदिक काल में उत्तराखंड किस राज्य का हिस्सा था? || Which kingdom did Uttarakhand form a part of during the Vedic age?,"Hindi: वैदिक काल में उत्तराखंड उत्तरकुरु राज्य का हिस्सा था।
English: During the Vedic age, Uttarakhand formed a part of the Uttarakuru Kingdom."
Answer in Hindi and English.,कौन सा राजवंश उत्तराखंड में शैव धर्म का प्रारंभिक रूप अपनाता था? || Which dynasty in Uttarakhand practised an early form of Shaivism?,"Hindi: कुंनिंद वंश (Kunindas) उत्तराखंड में शैव धर्म का प्रारंभिक रूप अपनाता था।
English: The Kunindas dynasty practised an early form of Shaivism in Uttarakhand."
Answer in Hindi and English.,कल्सी में पाए गए अशोक के शिलालेख से क्या पता चलता है? || What does Ashoka's edict found at Kalsi indicate?,"Hindi: कल्सी में अशोक का शिलालेख इस क्षेत्र में बौद्ध धर्म के प्रारंभिक प्रसार का प्रमाण है।
English: Ashoka's edict at Kalsi shows the early presence of Buddhism in this region."
Answer in Hindi and English.,उत्तराखंड के इतिहास में किन-किन प्रमुख राजवंशों ने शासन किया? || Which major dynasties ruled Uttarakhand throughout its history?,"Hindi: उत्तराखंड पर पौरव, खस, किरात, नंद, मौर्य, कुषाण, कुणिंद, गुप्त, कर्कोट, पाला, गुर्जर-प्रतिहार, कत्यूर, चंद, परमार, मल्ल, शाह और ब्रिटिश जैसे कई राजवंशों ने शासन किया।
English: The Pauravas, Khasas, Kiratas, Nandas, Mauryas, Kushanas, Kunindas, Guptas, Karkotas, Palas, Gurjara-Pratiharas, Katyuris, Chands, Parmars, Mallas, Shahs, and the British ruled Uttarakhand in turns."
Answer in Hindi and English.,कत्यूर वंश ने उत्तराखंड के किन क्षेत्रों पर शासन किया? || Which areas of Uttarakhand were ruled by the Katyuri dynasty?,"Hindi: कत्यूर वंश ने चौथी से चौदहवीं शताब्दी तक कुमाऊँ क्षेत्र, विशेषकर कत्यूर घाटी (आधुनिक बैजनाथ) से शासन किया।
English: The Katyuri dynasty ruled parts of Kumaon, especially from the Katyur Valley (modern-day Baijnath), between the 4th and 14th centuries."
Answer in Hindi and English.,जागेश्वर मंदिर समूह किस राजवंश द्वारा बनवाया गया था? || Which dynasty built the Jageshwar Temples Complex?,"Hindi: जागेश्वर मंदिर समूह कत्यूर राजाओं द्वारा बनाया गया था और बाद में चंद राजाओं द्वारा इसका पुनर्निर्माण किया गया।
English: The Jageshwar Temples Complex was built by the Katyuri kings and later remodelled by the Chand rulers."
Answer in Hindi and English.,कत्यूर वंश के पतन के बाद कौन-कौन से राज्य बने? || Which kingdoms emerged after the fall of the Katyuri dynasty?,"Hindi: कत्यूर वंश के पतन के बाद उत्तराखंड दो हिस्सों में बँट गया — कुमाऊँ राज्य और गढ़वाल राज्य।
English: After the fall of the Katyuri dynasty, Uttarakhand was divided into the Kumaon Kingdom and the Garhwal Kingdom."
Answer in Hindi and English.,"भोटिया, राजी, जाद और बनरावत लोग किसके वंशज माने जाते हैं? || The Bhotiya, Raji, Jad, and Banrawat people are believed to be descendants of which group?","Hindi: भोटिया, राजी, जाद और बनरावत लोग तिब्बती-बर्मन समूह के किरात लोगों के वंशज माने जाते हैं।
English: The Bhotiya, Raji, Jad, and Banrawat people are believed to be descendants of the Tibeto-Burman Kirata group."
Answer in Hindi and English.,"मध्यकालीन काल में उत्तराखंड किन दो राज्यों के अधीन एकीकृत हुआ था? || During the medieval period, under which two kingdoms was Uttarakhand consolidated?","Hindi: मध्यकालीन काल में उत्तराखंड पश्चिम में गढ़वाल राज्य और पूर्व में कुमाऊँ राज्य के अधीन एकीकृत हुआ था।
English: During the medieval period, Uttarakhand was consolidated under the Garhwal Kingdom in the west and the Kumaon Kingdom in the east."
Answer in Hindi and English.,गढ़वाल क्षेत्र के एकीकरण के समय कौन सा वंश शासन कर रहा था? || Which dynasty ruled during the unification of the Garhwal region?,"Hindi: गढ़वाल क्षेत्र पर परमार वंश का शासन था जिसने इस क्षेत्र को एकीकृत किया।
English: The Garhwal region was unified under the rule of the Parmar dynasty."
Answer in Hindi and English.,"कुमाऊँ राज्य की राजधानी अल्मोड़ा पर 1791 में किसने अधिकार किया? || Who captured Almora, the capital of Kumaon, in 1791?","Hindi: 1791 में नेपाल के गोरखा साम्राज्य ने कुमाऊँ राज्य की राजधानी अल्मोड़ा पर अधिकार किया।
English: In 1791, the Gorkha Empire of Nepal captured Almora, the capital of the Kumaon Kingdom."
Answer in Hindi and English.,कुमाऊँ को नेपाल साम्राज्य में किसने मिलाया? || Who annexed Kumaon to the Kingdom of Nepal?,"Hindi: अमर सिंह थापा ने कुमाऊँ को नेपाल साम्राज्य में मिलाया।
English: Amar Singh Thapa annexed Kumaon to the Kingdom of Nepal."
Answer in Hindi and English.,गढ़वाल राज्य गोरखाओं के अधीन कब आया? || When did the Garhwal Kingdom fall under the Gorkhas?,"Hindi: गढ़वाल राज्य 1803 में गोरखाओं के अधीन आया।
English: The Garhwal Kingdom fell under the Gorkhas in 1803."
Answer in Hindi and English.,कौन-सा युद्ध ब्रिटिशों को उत्तराखंड पर नियंत्रण दिलाने का कारण बना? || Which war gave the British control over parts of Uttarakhand?,"Hindi: एंग्लो-नेपाल युद्ध के परिणामस्वरूप ब्रिटिशों को उत्तराखंड के कुछ भागों पर नियंत्रण मिला।
English: The Anglo-Nepalese War gave the British control over parts of Uttarakhand."
Answer in Hindi and English.,किस संधि के तहत उत्तराखंड का कुछ भाग ब्रिटिशों को सौंपा गया? || Under which treaty was part of Uttarakhand ceded to the British?,"Hindi: सुगौली संधि के तहत उत्तराखंड का कुछ भाग ब्रिटिशों को सौंपा गया।
English: Part of Uttarakhand was ceded to the British under the Treaty of Sugauli."
Answer in Hindi and English.,गढ़वाल राज्य को टिहरी में एक रियासत के रूप में कब पुनः स्थापित किया गया? || When was the Garhwal Kingdom re-established as a princely state in Tehri?,"Hindi: गढ़वाल राज्य को 1816 में टिहरी में एक रियासत के रूप में पुनः स्थापित किया गया।
English: The Garhwal Kingdom was re-established as a princely state in Tehri in 1816."
Answer in Hindi and English.,कनखल का प्रसिद्ध दक्षमहादेव मंदिर किसने बनवाया? || Who built the famous Dakshamahadev Temple at Kankhal?,"Hindi: कनखल का प्रसिद्ध दक्षमहादेव मंदिर लंधौरा की रानी धनकौर ने 1810 ईस्वी में बनवाया।
English: The famous Dakshamahadev Temple at Kankhal was built by Queen Dhan Kaur of Landhaura in 1810 A.D."
Answer in Hindi and English.,लंधौरा के राजाओं को 'हरिद्वारी राजे' क्यों कहा जाता था? || Why were the Rajas of Landhaura called 'Haridwari Rajas'?,"Hindi: लंधौरा के राजाओं को 'हरिद्वारी राजे' कहा जाता था क्योंकि उन्होंने हरिद्वार में अनेक मंदिर और घाट बनवाए।
English: The Rajas of Landhaura were called 'Haridwari Rajas' because they built many temples and ghats in Haridwar."
Answer in Hindi and English.,टिमली एस्टेट की स्थापना किसने और कब की थी? || Who founded the Timli estate and when?,"Hindi: टिमली एस्टेट की स्थापना देहरादून में 15वीं शताब्दी के मध्य में चौधरी राम सिंह द्वारा की गई थी।
English: The Timli estate was founded in Dehradun in the mid-15th century by Chaudhari Ram Singh."
Answer in Hindi and English.,टिमली एस्टेट किस वंश के अधीन रही? || Under which dynasty did the Timli estate remain?,"Hindi: टिमली एस्टेट चौकर हिंदू परिवार के शासन के अधीन रही जब तक इसे अंततः ब्रिटिश शासन में मिला नहीं दिया गया।
English: The Timli estate remained under the rule of the Chokar Hindu family until its eventual annexation."
Answer in Hindi and English.,"पोहड़ा सिंह और लाल करण कौन थे और उन्होंने क्या किया? || Who were Pohda Singh and Lal Karan, and what did they do?","Hindi: 1548 में सहारनपुर के तित्रोन क्षेत्र के दो मुखिया, पोहड़ा सिंह और लाल करण ने शिवालिक पहाड़ियों को पार कर देहरादून क्षेत्र पर अधिकार किया और टिमली एस्टेट की स्थापना की।
English: In 1548, two chieftains from Titron, Saharanpur — Pohda Singh and Lal Karan — crossed the Sivalik hills, conquered Dehradun, and established the Timli estate."
Answer in Hindi and English.,टिमली नामक नगर की स्थापना किसने की थी? || Who founded the town named Timli?,"Hindi: पोहड़ा सिंह और लाल करण ने टिमली नामक नगर की स्थापना की थी।
English: The town of Timli was founded by Pohda Singh and Lal Karan."
Answer in Hindi and English.,चौधरी भगवान सिंह का क्या योगदान था? || What was the contribution of Chaudhari Bhagwan Singh?,"Hindi: चौधरी भगवान सिंह टिमली एस्टेट में मजिस्ट्रेट के रूप में अधिकार रखते थे।
English: Chaudhari Bhagwan Singh held the power of magistrate in the Timli estate."
Answer in Hindi and English.,समथर राज्य के राजा रंजीत सिंह का टिमली परिवार से क्या संबंध था? || What was the relation of Raja Ranjit Singh of Samthar with the Timli family?,"Hindi: राजा रंजीत सिंह की शादी टिमली एस्टेट के चौकर परिवार की एक राजकुमारी से हुई थी।
English: Raja Ranjit Singh of Samthar was married to a princess from the Chokar family of the Timli estate."
Answer in Hindi and English.,भारत की स्वतंत्रता के बाद उत्तराखंड का कौन सा भाग उत्तर प्रदेश में मिला दिया गया? || Which part of Uttarakhand was merged into Uttar Pradesh after India's independence?,"Hindi: स्वतंत्रता के बाद गढ़वाल राज्य को उत्तर प्रदेश में मिला दिया गया।
English: After India's independence, the Garhwal Kingdom was merged into the state of Uttar Pradesh."
Answer in Hindi and English.,उत्तराखंड क्षेत्र में कौन-कौन से डिवीजन शामिल थे? || Which divisions composed the region of Uttarakhand in Uttar Pradesh?,"Hindi: उत्तराखंड क्षेत्र में गढ़वाल और कुमाऊं डिवीजन शामिल थे।
English: The Uttarakhand region composed the Garhwal and Kumaon divisions."
Answer in Hindi and English.,उत्तराखंड क्रांति दल का गठन क्यों किया गया था? || Why was the Uttarakhand Kranti Dal formed?,"Hindi: उत्तराखंड क्रांति दल का गठन अलग राज्य की मांग को लेकर किया गया था।
English: The Uttarakhand Kranti Dal was formed to demand separate statehood for Uttarakhand."
Answer in Hindi and English.,उत्तराखंड को अलग राज्य बनाने की मांग को कब व्यापक समर्थन मिला? || When did the demand for separate statehood of Uttarakhand gain widespread support?,"Hindi: 1994 में उत्तराखंड को अलग राज्य बनाने की मांग को लगभग सर्वसम्मति से समर्थन मिला।
English: In 1994, the demand for separate statehood for Uttarakhand gained almost unanimous acceptance."
Answer in Hindi and English.,रामपुर तिराहा कांड कब और क्यों हुआ था? || When and why did the Rampur Tiraha incident occur?,"Hindi: रामपुर तिराहा कांड 1-2 अक्टूबर 1994 को हुआ था, जब उत्तराखंड राज्य आंदोलन के दौरान पुलिस ने शांतिपूर्ण प्रदर्शनकारियों पर गोलीबारी की थी। यह कांड उत्तराखंड राज्य निर्माण आंदोलन का एक महत्वपूर्ण मोड़ था।
English: The Rampur Tiraha incident occurred on October 1-2, 1994, when police opened fire on peaceful protesters during the Uttarakhand statehood movement. This incident became a turning point in the movement for the creation of Uttarakhand state."
Answer in Hindi and English.,रामपुर तिराहा कांड में कितने लोग शहीद हुए थे? || How many people were martyred in the Rampur Tiraha incident?,"Hindi: रामपुर तिराहा कांड में आधिकारिक रूप से 7 लोगों के शहीद होने की पुष्टि हुई थी, हालांकि स्थानीय लोगों का मानना है कि मृतकों की संख्या इससे कहीं अधिक थी।
English: Officially, 7 people were confirmed martyred in the Rampur Tiraha incident, although locals believe the actual number was much higher."
Answer in Hindi and English.,उत्तराखंड राज्य का गठन कब हुआ था? || When was the state of Uttarakhand formed?,"Hindi: उत्तराखंड राज्य का गठन 9 नवंबर 2000 को भारत के 27वें राज्य के रूप में हुआ था।
English: The state of Uttarakhand was formed on November 9, 2000, as the 27th state of India."
Answer in Hindi and English.,उत्तराखंड राज्य का पहला नाम क्या था? || What was the original name of Uttarakhand state?,"Hindi: उत्तराखंड राज्य को शुरू में 'उत्तरांचल' नाम से जाना जाता था, जिसे बाद में 1 जनवरी 2007 को बदलकर 'उत्तराखंड' कर दिया गया।
English: The state was initially known as 'Uttaranchal', which was later changed to 'Uttarakhand' on January 1, 2007."
Answer in Hindi and English.,चिपको आंदोलन क्या था और यह कब शुरू हुआ? || What was the Chipko movement and when did it start?,"Hindi: चिपको आंदोलन एक पर्यावरणीय आंदोलन था जो 1973 में उत्तराखंड (तत्कालीन उत्तर प्रदेश) के चमोली जिले में शुरू हुआ। इसमें ग्रामीणों ने पेड़ों को बचाने के लिए उनसे चिपक जाने की विधि अपनाई थी।
English: The Chipko movement was an environmental movement that began in 1973 in the Chamoli district of Uttarakhand (then part of Uttar Pradesh). Villagers used the method of hugging trees to prevent them from being cut down."
Answer in Hindi and English.,चिपको आंदोलन के प्रमुख नेता कौन थे? || Who were the main leaders of the Chipko movement?,"Hindi: चिपको आंदोलन के प्रमुख नेताओं में सुंदरलाल बहुगुणा, चंडी प्रसाद भट्ट, गौरा देवी और सुदेशा देवी शामिल थे।
English: The main leaders of the Chipko movement included Sunderlal Bahuguna, Chandi Prasad Bhatt, Gaura Devi, and Sudesha Devi."
Answer in Hindi and English.,उत्तराखंड राज्य आंदोलन का मुख्य उद्देश्य क्या था? || What was the main objective of the Uttarakhand statehood movement?,"Hindi: उत्तराखंड राज्य आंदोलन का मुख्य उद्देश्य पर्वतीय क्षेत्रों के विकास, स्थानीय संसाधनों पर नियंत्रण और प्रशासनिक सुविधा के लिए उत्तर प्रदेश से अलग एक नए राज्य का निर्माण करना था।
English: The main objective of the Uttarakhand statehood movement was to create a separate state from Uttar Pradesh for better development of hilly regions, control over local resources, and administrative convenience."
Answer in Hindi and English.,उत्तराखंड के पहले मुख्यमंत्री कौन थे? || Who was the first Chief Minister of Uttarakhand?,"Hindi: उत्तराखंड के पहले मुख्यमंत्री नित्यानंद स्वामी थे, जिन्होंने 9 नवंबर 2000 से 29 अक्टूबर 2001 तक पद संभाला।
English: Nityanand Swami was the first Chief Minister of Uttarakhand, serving from November 9, 2000, to October 29, 2001."
Answer in Hindi and English.,चिपको आंदोलन का पर्यावरणीय आंदोलनों पर क्या प्रभाव पड़ा? || What was the impact of the Chipko movement on environmental movements?,"Hindi: चिपको आंदोलन ने न केवल भारत बल्कि विश्व भर में पर्यावरण आंदोलनों को प्रेरित किया। यह वन संरक्षण और स्थानीय समुदायों के अधिकारों के लिए एक मिसाल बना और इसने भारत में पर्यावरण कानूनों को प्रभावित किया।
English: The Chipko movement inspired environmental movements not just in India but worldwide. It became a model for forest conservation and community rights, influencing environmental legislation in India."
Answer in Hindi and English.,रामपुर तिराहा कांड के बाद उत्तराखंड आंदोलन को किस प्रकार का समर्थन मिला? || What kind of support did the Uttarakhand movement receive after the Rampur Tiraha incident?,"Hindi: रामपुर तिराहा कांड के बाद उत्तराखंड आंदोलन को व्यापक जनसमर्थन मिला। देश भर से राजनीतिक दलों, सामाजिक कार्यकर्ताओं और आम जनता ने आंदोलन का समर्थन किया, जिसके परिणामस्वरूप अंततः 2000 में उत्तराखंड राज्य का गठन हुआ।
English: After the Rampur Tiraha incident, the Uttarakhand movement gained widespread public support. Political parties, social activists, and the general public from across the country supported the movement, leading to the eventual formation of Uttarakhand state in 2000."
Answer in Hindi and English.,रामपुर तिराहा कांड किस आंदोलन से जुड़ा था? || Which movement was the Rampur Tiraha incident associated with?,"Hindi: रामपुर तिराहा कांड उत्तराखंड राज्य आंदोलन से जुड़ा था, जिसमें पृथक राज्य की मांग को लेकर प्रदर्शन हो रहे थे।
English: The Rampur Tiraha incident was associated with the Uttarakhand statehood movement, during which people were demanding a separate state."
Answer in Hindi and English.,रामपुर तिराहा कांड ने राज्य आंदोलन को किस प्रकार प्रभावित किया? || How did the Rampur Tiraha incident influence the statehood movement?,"Hindi: इस घटना ने लोगों में गहरा रोष पैदा किया और राज्य निर्माण की मांग को राष्ट्रीय स्तर पर प्रमुख बना दिया।
English: The incident provoked deep anger among the people and brought the demand for statehood to national prominence."
Answer in Hindi and English.,उत्तराखंड राज्य बनने से पहले इस क्षेत्र को किस नाम से जाना जाता था? || What was the region known as before Uttarakhand became a state?,"Hindi: राज्य बनने से पहले यह क्षेत्र उत्तर प्रदेश का हिस्सा था और गढ़वाल तथा कुमाऊँ मंडलों के रूप में जाना जाता था।
English: Before becoming a state, the region was part of Uttar Pradesh and was known as the Garhwal and Kumaon divisions."
Answer in Hindi and English.,उत्तराखंड क्रांति दल (UKD) की स्थापना का उद्देश्य क्या था? || What was the purpose behind the formation of Uttarakhand Kranti Dal (UKD)?,"Hindi: उत्तराखंड क्रांति दल का उद्देश्य अलग उत्तराखंड राज्य की स्थापना और पर्वतीय क्षेत्र के विकास को सुनिश्चित करना था।
English: The Uttarakhand Kranti Dal aimed to establish a separate Uttarakhand state and ensure the development of the hill regions."
Answer in Hindi and English.,उत्तराखंड राज्य का गठन किन दो पारंपरिक प्रतिद्वंद्वी क्षेत्रों के मिलन से हुआ? || The formation of Uttarakhand united which two traditionally rival regions?,"Hindi: उत्तराखंड राज्य का गठन परंपरागत प्रतिद्वंद्वी क्षेत्र गढ़वाल और कुमाऊँ के मिलन से हुआ।
English: The formation of Uttarakhand united the traditionally rival regions of Garhwal and Kumaon."
